SYMBOL,YEAR,MIN,MAX,MEAN,STD_DEV
20MICRONS,2010,37,61,47.6335,6.971849739
20MICRONS,2011,36,70,49.1903,8.141475928
20MICRONS,2012,62,164,100.7773,26.01982684
20MICRONS,2014,30,38,31.9648,1.874258433
3IINFOTECH,2010,52,96,68.8566,9.407726894
3IINFOTECH,2011,12,62,37.3482,12.26958596
3IINFOTECH,2012,7,21,13.6497,3.27481461
3IINFOTECH,2014,6,13,8.41,1.304568894
3MINDIA,2010,1775,4224,2901.4263,731.5757141
3MINDIA,2011,3128,4798,3921.3725,412.1248078
3MINDIA,2012,3447,4450,3859.7045,186.9844591
3MINDIA,2014,3535,6649,4827.6408,1099.935378
8KMILES,2014,98,731,280.0543,202.6117573
A2ZMES,2010,317,332,325,5.398412465
A2ZMES,2011,87,337,223.8057,57.11557542
A2ZMES,2012,56,141,90.6964,23.89316867
A2ZMES,2014,10,32,18.125,6.639920306
AANJANEYA,2011,311,517,415.223,46.94919925
AANJANEYA,2012,444,807,587.1457,89.75532989
AARTIDRUGS,2010,89,160,126.1235,18.33325536
AARTIDRUGS,2011,74,149,119.4089,20.11240683
AARTIDRUGS,2012,75,224,126.7577,36.04706138
AARTIDRUGS,2014,206,860,510.331,223.4873321
AARTIIND,2010,44,84,54.4343,8.970883699
AARTIIND,2011,43,65,49.9879,3.593157895
AARTIIND,2012,47,101,72.6194,13.69568429
AARTIIND,2014,87,312,197.0563,77.91524599
AARVEEDEN,2010,54,91,68.7769,10.94963224
AARVEEDEN,2011,28,84,48.4858,13.3840349
AARVEEDEN,2012,27,72,41.9795,11.80943245
AARVEEDEN,2014,33,57,44.7183,6.221686512
ABAN,2010,646,1519,949.008,227.6244022
ABAN,2011,328,824,512.6721,124.6117929
ABAN,2012,329,556,415.7976,48.6029888
ABAN,2014,369,883,599.4296,128.9970738
ABB,2010,673,949,826.6295,49.68957588
ABB,2011,545,900,761.1457,94.58943357
ABB,2012,582,891,766.7328,57.43090777
ABB,2014,574,1317,945.831,195.1616871
ABBOTINDIA,2010,730,1474,1081.6842,183.9242426
ABBOTINDIA,2011,1201,1635,1413.0648,108.0528616
